Software,Version,Release Date,Link to proof of Release Date or your Source (maybe confidence rating?),Notes
,0.5.14,28 August 2017,,
,0.5.15,09 October 2017,,
,0.5.16,11 October 2017,,
,0.6.0,19 January 2018,,"Major Release, YUIDocs and linting overhaul, Shader support"
,0.6.1,27 April 2018,,
,0.7.0,09 August 2018,,"Major Release, core file restructure, developer_docs refactor"
,0.7.1,10 August 2018,,
,0.7.2,02 September 2018,,
,,,,
,,,,
Max/MSP,Initial,1990,https://en.wikipedia.org/wiki/Max_(software),
,Max (2?),1997?,Was Max/MSP (first Cycling '74 release) the same as Max 2?,
,Max 3,,,
,Max 4,2003,,
,Jitter,2003,,
,Max 5,2008,,
,Max 6,2011,,
,Max 7,2014,,
,,,,
Pure Data,0.15,16 September 1997,http://msp.ucsd.edu/Pd_documentation/x5.htm,
,0.18,07 December 1997,http://msp.ucsd.edu/Software/,Binary file creation dates
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Cinder,0.8 (first?),27 April 2010,"
https://github.com/cinder/Cinder/releases",
,0.8.1,21 May 2010,,
,0.8.2,14 October 2010,,
,0.8.3,18 July 2011,,
,0.8.4,17 May 2012,,
,0.8.5,24 April 2013,,
,0.8.6,07 August 2014,,
,0.9.0,2 October 2015,,
,0.9.1,31 March 2017,,
,,,,
openFrameworks,preRelease_v0.01,March 2007,https://openframeworks.cc/versions/,
,preRelease_v0.02,,https://github.com/openframeworks/openFrameworks/releases?after=0.8.0,
,preRelease_v0.03,,,
,preRelease_v0.04,,,
,preRelease_v0.05,,,
,preRelease_v0.06,,,
,preRelease_v0.061,11 February 2010,,
,preRelease_v0.062,17 November 2010,,
,preRelease_v0.07,21 July 2011,,
,v0.071,28 May 2012,,
,v0072,20 October 2012,,
,v0073,14 November 2012,,
,v0.7.4,15 February 2013,,
,v0.8.0,11 August 2013,,
,v0.8.1,28 March 2014,,
,v0.8.2,29 June 2014,,
,v0.8.3,2 July 2014,,
,v0.8.4,9 September 2014,,
,v0.9.0,8 November 2015,,
,v0.9.1,31 January 2016,,
,v0.9.2,8 February 2016,,
,v0.9.3,9 March 2016,,
,v0.9.4,4 October 2016,,
,v0.9.5,21 October 2016,,
,v0.9.6,24 October 2016,,
,v0.9.7,31 October 2016,,
,v0.9.8,22 November 2016,,
,v0.10.0,07 May 2018,,
,ofBook - alpha,01 April 2014,,Related documentation
,ofBook - 0.4.0,09 September 2016,,
Vvvv,,,,
,,,,
,,,,
,,,,
,,,,
Pure Data,,,,
,,,,
,,,,
,,,,
,,,,
VDMX,,,Pull info from: https://vidvox.net/oldforums/viewforum.php?f=22&sid=24e26af841c3a75ce917e6ec0ed4e6fb,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,b8.2.3.2,04 December 2014,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,b8.6.1.1,14 November 2016,,
,b8.6.1.3,24 February 2017,,
,b8.6.1.7,27 June 2017,,
,b8.6.2.1,22 September 2017,,
,b8.6.2.3,03 November 2017,,
,b8.6.2.5,08 December 2017,,
,b8.7.0.0,19 July 2018,,
Resolume,,,,
,,,,
,,,,
,,,,
MadMapper,,,Need to contact creators,
,,,,
,,,,
,,,,
,,,,
Unity,,,Need to contact creators,
,,,,
,,,,
,,,,
Quartz Composer,,,,
,,,,
,,,,
,,,,
Touch Designer,,,Need to contact creators,
,,,,
,,,,
,,,,
Isadora,,,Need to contact creators,
,,,,
,,,,
,,,,
,,,,
StructureSynth,,,,this might be more like complex cascading markup?
Scratch,,,,
Flash / Animate,,,,
Director,,,,
Nodebox,,,,
Ableton Live,,,,
Scriptographer,,,,"Scripting plugin for Adobe Illustrator by Juerg Lehni, defunct since 2012 (Paper.js was informed by Scriptographer)"
Basil.js,,,,JS library for InDesign - does it qualify?
FilterFactory,,1994,See paragraph 5.1 here: http://www.filtermeister.com/docs/gettings.pdf,"This was a plugin that was released with Photoshop 3.0 which allowed to write filters using a very limited instruction set. In hindsight one could say it was the predecessor or what ShaderToy is now. Around this plugin a very active community of coders had gathered in a mailing list called ""The Filter Factory Discussion Group"" which was originally started on Compuserve in 1995. During the ~4 years in which the group was most active thousands of experimental filters were shared that went beyond basic color manipulations but rather tried to push the language and memory limits that the plugin imposed. Lots of the code shared I would definitely call ""Generative Art""."
,,,,
Unreal,,,,
three.js,,,,
Papervision3D,,,,
